wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
288.46,0,0,0
288.89,0,0,0
289.33,0,0,0
289.77,0,0,0
290.2,0,0,0
290.64,0,0,0
291.07,0,0,0
291.51,0,0,0
291.95,0,0,0
292.38,0,0,0
292.82,0,0,0
293.25,0,0,0
293.69,0,0,0
294.12,0,0,0
294.56,0,0,0
295,0.17,1.58,2.82
295.43,0.44,1.89,3.22
295.87,0.56,1.11,3.11
296.3,0.06,1.44,3.44
296.74,0.28,1.54,4.07
297.17,0.49,1.52,3.58
297.61,0.42,1.47,4.4
298.04,0.11,0.63,5.06
298.48,-0.27,1.49,4.7
298.91,0.16,2.1,5.46
299.35,0.36,1.88,5.52
299.78,0.1,1.54,6.38
300.22,0.05,1.23,7.57
300.65,0.26,1.94,7.97
301.09,0.56,2.62,9.59
301.52,0.76,2.24,11.21
301.96,0.41,2.79,12.08
302.39,0.67,3.18,14.16
302.83,0.96,3.33,14.94
303.26,1.04,3.75,16.69
303.7,0.79,3.26,19.04
304.13,0.6,4.28,20.91
304.57,1.23,4.91,23.49
305,1.57,5.2,26.39
305.43,1.32,5.18,28.65
305.87,1.51,5.05,31.95
306.3,1.84,6.31,34.54
306.74,2.39,7.37,37.53
307.17,2.8,7.82,41.5
307.61,2.83,8.78,45.06
308.04,3.45,9.81,49.13
308.47,4.08,10.76,53.31
308.91,4.54,12.2,56.73
309.34,4.82,13.03,61.94
309.78,5.19,14.82,66.45
310.21,6.25,16.45,71.35
310.64,7.16,18.27,76.56
311.08,7.66,19.85,81.38
311.51,8.54,21.07,87.3
311.95,9.65,23.64,92.09
312.38,10.74,25.86,95.91
312.81,11.89,27.79,101.93
313.25,12.76,30.04,107.74
313.68,13.96,32.14,113.01
314.11,15.28,34.66,117.5
314.55,16.46,37.37,121.85
314.98,17.41,39.33,126.38
315.41,18.55,42.34,131.25
315.85,20.11,44.78,135.06
316.28,21.79,47.7,140.82
316.71,23.08,50.92,146.25
317.15,24.48,52.88,150.97
317.58,25.82,55.87,154.53
318.01,27.17,58.42,156.14
318.45,28.66,61.39,161.12
318.88,29.82,63.69,165.85
319.31,31.32,65.88,169.79
319.75,32.78,68.77,173.22
320.18,33.94,71.39,175.21
320.61,34.98,73.45,178.31
321.05,35.84,75.96,180.6
321.48,37.35,78.33,181.87
321.91,39.08,81.69,186.09
322.34,40.76,85.96,190.47
