Variable,Bytes
ground_grid_x_bytes,800
ground_grid_y_bytes,800
ground_grid_z_bytes,800
ground_grid_all_bytes,2400
normals_unit_surface_bytes,2400
areas_surface_bytes,800
normals_unit_ground_bytes,2400
areas_ground_bytes,800
tilts_unit_bytes,800
surface_grid_x_bytes,800
surface_grid_y_bytes,800
surface_grid_z_bytes,800
surface_grid_all_bytes,2400
solar_cells_bytes,800
distance_grid_bytes,80000
separation_unit_vector_grid_bytes,240000
time_array_bytes,768
altitude_array_bytes,768
azimuth_array_bytes,768
sun_surface_grid_bytes,76800
sun_incident_bytes,76800
sun_vecs_bytes,2304
sun_positions_bytes,1536
gradient_grid_bytes,800
angle_grid_bytes,800
surface_gradient_grid_bytes,800
surface_angle_grid_bytes,800
optical_wavelengths_bytes,184
optical_intensities_bytes,17664
spectra_frames_bytes,768
complex_array_bytes,2944
t_grid_frames_bytes,76800
solar_cell_spectra_bytes,76800
solar_cell_spectra_shaded_bytes,76800
transmitted_frames_bytes,76800
absorbed_frames_bytes,76800
transmitted_int_bytes,76800
absorbed_int_bytes,76800
direct_ground_irradiance_frames_bytes,76800
direct_ground_int_bytes,76800
diffuse_ground_irradiance_frames_bytes,76800
diffuse_ground_int_bytes,76800
global_ground_irradiance_frames_bytes,76800
global_ground_int_bytes,76800
direct_photon_spectra_frames_bytes,76800
direct_photon_par_spectra_bytes,76800
direct_photon_par_bytes,76800
diffuse_photon_spectra_frames_bytes,76800
diffuse_photon_par_spectra_bytes,76800
diffuse_photon_par_bytes,76800
global_photon_spectra_frames_bytes,76800
global_photon_par_spectra_bytes,76800
global_photon_par_bytes,76800
